Fecha,Clics,Impresiones,CTR,Posición
2025-07-26,48,2414,1.99%,5.6
2025-07-27,55,2563,2.15%,5.2
2025-07-28,36,2054,1.75%,5.8
2025-07-29,36,1960,1.84%,5.7
2025-07-30,42,2054,2.04%,5.7
2025-07-31,50,2573,1.94%,5.7
2025-08-01,31,2138,1.45%,5.5
2025-08-02,29,2217,1.31%,5.6
2025-08-03,33,2178,1.52%,6
2025-08-04,27,2066,1.31%,6.2
2025-08-05,23,2698,0.85%,5.9
2025-08-06,28,2779,1.01%,6.1
2025-08-07,28,2378,1.18%,7
2025-08-08,17,2088,0.81%,6.8
2025-08-09,18,2071,0.87%,7.1
2025-08-10,26,2469,1.05%,6.9
2025-08-11,34,2639,1.29%,7.2
2025-08-12,33,2817,1.17%,7.9
2025-08-13,32,2238,1.43%,9.2
2025-08-14,25,2290,1.09%,6.8
2025-08-15,45,2432,1.85%,6.2
2025-08-16,25,2546,0.98%,6.2
2025-08-17,28,2485,1.13%,5.9
2025-08-18,15,1412,1.06%,7.6
2025-08-19,14,1494,0.94%,8
2025-08-20,25,2172,1.15%,6.7
2025-08-21,24,2074,1.16%,6.9
2025-08-22,22,2339,0.94%,6.1
2025-08-23,24,1828,1.31%,6.5
2025-08-24,14,1696,0.83%,6.9
2025-08-25,23,2770,0.83%,5.9
2025-08-26,29,3106,0.93%,7
2025-08-27,20,2142,0.93%,7
2025-08-28,16,2086,0.77%,7
2025-08-29,20,2013,0.99%,7.8
2025-08-30,29,2780,1.04%,6.8
2025-08-31,11,1619,0.68%,7.9
2025-09-01,13,1642,0.79%,8.4
2025-09-02,19,1910,0.99%,7.1
2025-09-03,31,2224,1.39%,6.5
2025-09-04,18,1730,1.04%,6.9
2025-09-05,24,2019,1.19%,6.9
2025-09-06,31,2462,1.26%,6.9
2025-09-07,11,2293,0.48%,6.8
2025-09-08,5,1726,0.29%,8.4
2025-09-09,13,2220,0.59%,8.9
2025-09-10,6,1929,0.31%,10.3
2025-09-11,8,1780,0.45%,7.2
2025-09-12,11,1538,0.72%,6.5
2025-09-13,10,1614,0.62%,5.6
2025-09-14,14,2099,0.67%,5.3
2025-09-15,12,1351,0.89%,7.3
2025-09-16,5,1273,0.39%,5.8
2025-09-17,19,1697,1.12%,5.3
2025-09-18,20,1917,1.04%,5.3
2025-09-19,52,2769,1.88%,5.6
2025-09-20,172,3371,5.1%,5.4
2025-09-21,112,2062,5.43%,5
2025-09-22,20,1491,1.34%,5.2
2025-09-23,24,1482,1.62%,5.3
2025-09-24,18,1289,1.4%,5.6
2025-09-25,15,1217,1.23%,6.7
2025-09-26,21,1569,1.34%,4.7
2025-09-27,27,1682,1.61%,4.7
2025-09-28,22,1781,1.24%,4.7
2025-09-29,9,1411,0.64%,5.6
2025-09-30,14,1412,0.99%,6
2025-10-01,20,1479,1.35%,5.6
2025-10-02,15,1361,1.1%,5.6
2025-10-03,17,1464,1.16%,5.4
2025-10-04,18,1342,1.34%,5.9
2025-10-05,15,1195,1.26%,5.5
2025-10-06,17,1396,1.22%,6
2025-10-07,26,1627,1.6%,5.6
2025-10-08,29,1405,2.06%,5.3
2025-10-09,22,1241,1.77%,5.6
2025-10-10,24,1482,1.62%,6
2025-10-11,25,1365,1.83%,5.4
2025-10-12,25,1567,1.6%,5.6
2025-10-13,12,1147,1.05%,6
2025-10-14,19,1299,1.46%,6.1
2025-10-15,17,1299,1.31%,5.2
2025-10-16,21,1312,1.6%,6.3
2025-10-17,18,1232,1.46%,5.9
2025-10-18,16,1095,1.46%,6.1
2025-10-19,5,1520,0.33%,7.8
2025-10-20,23,1576,1.46%,6
2025-10-21,16,1503,1.06%,6.2
2025-10-22,12,1914,0.63%,6.5
2025-10-23,65,2574,2.53%,6.5
2025-10-24,67,2037,3.29%,6.2
2025-10-25,70,1586,4.41%,6.1
2025-10-26,72,1482,4.86%,6
2025-10-27,52,1343,3.87%,6.1
2025-10-28,74,1512,4.89%,5.9
2025-10-29,107,1446,7.4%,5.1
2025-10-30,127,1434,8.86%,5.4
2025-10-31,154,1772,8.69%,5.1
2025-11-01,90,1440,6.25%,6
2025-11-02,122,1365,8.94%,5.4
2025-11-03,81,1349,6%,6.1
2025-11-04,60,1260,4.76%,6.2
2025-11-05,96,1455,6.6%,5.8
2025-11-06,66,1284,5.14%,6.6
2025-11-07,18,1253,1.44%,8.3
2025-11-08,24,1173,2.05%,8.2
2025-11-09,27,979,2.76%,8.3
2025-11-10,16,1006,1.59%,8.4
2025-11-11,28,1088,2.57%,7.9
2025-11-12,16,1122,1.43%,8.1
2025-11-13,22,1131,1.95%,8.1
2025-11-14,26,1304,1.99%,7.8
2025-11-15,20,1190,1.68%,9.3
2025-11-16,23,1115,2.06%,8.2
2025-11-17,18,1019,1.77%,8.7
2025-11-18,14,1026,1.36%,8.6
2025-11-19,31,974,3.18%,8.2
2025-11-20,10,847,1.18%,7.9
2025-11-21,11,1133,0.97%,7.6
2025-11-22,32,1233,2.6%,7.6
2025-11-23,20,1100,1.82%,7.7
2025-11-24,7,707,0.99%,8.7
2025-11-25,5,682,0.73%,9.8
2025-11-26,9,787,1.14%,9.5
2025-11-27,7,686,1.02%,9.4
2025-11-28,8,792,1.01%,9.6
2025-11-29,14,617,2.27%,10.6
2025-11-30,19,600,3.17%,10.2
2025-12-01,13,649,2%,10
2025-12-02,15,588,2.55%,10
2025-12-03,3,491,0.61%,11.2
2025-12-04,2,431,0.46%,13.3
2025-12-05,5,602,0.83%,16.5
2025-12-06,8,531,1.51%,13.1
2025-12-07,10,576,1.74%,9
2025-12-08,17,663,2.56%,12.3
2025-12-09,14,526,2.66%,14.1
2025-12-10,8,436,1.83%,9.4
2025-12-11,12,480,2.5%,13.7
2025-12-12,13,255,5.1%,10.6
2025-12-13,2,108,1.85%,22.4
2025-12-14,8,118,6.78%,20.2
2025-12-15,7,141,4.96%,13
2025-12-16,6,104,5.77%,18.8
2025-12-17,6,113,5.31%,14.3
2025-12-18,4,109,3.67%,16.6
2025-12-19,2,91,2.2%,16
2025-12-20,4,82,4.88%,11.5
2025-12-21,2,73,2.74%,15.1
2025-12-22,3,86,3.49%,12.1
2025-12-23,10,100,10%,19.6
2025-12-24,3,76,3.95%,11.9
2025-12-25,7,69,10.14%,19.7
2025-12-26,3,112,2.68%,16.3
2025-12-27,6,95,6.32%,23.5
2025-12-28,5,99,5.05%,13.5
2025-12-29,4,83,4.82%,12.8
2025-12-30,11,105,10.48%,14.7
2025-12-31,9,87,10.34%,15.6
2026-01-01,12,87,13.79%,11.8
2026-01-02,3,118,2.54%,18.2
2026-01-03,4,84,4.76%,20.6
2026-01-04,2,72,2.78%,9.4
2026-01-05,2,116,1.72%,13.3
2026-01-06,16,190,8.42%,28.6
2026-01-07,3,103,2.91%,8
2026-01-08,5,99,5.05%,16.6
2026-01-09,3,120,2.5%,13.4
2026-01-10,5,89,5.62%,14.2
2026-01-11,9,98,9.18%,13.3
2026-01-12,7,134,5.22%,10.5
2026-01-13,8,111,7.21%,8.9
2026-01-14,5,109,4.59%,7.5
2026-01-15,5,95,5.26%,7.4
2026-01-16,5,116,4.31%,13.6
2026-01-17,3,83,3.61%,9.5
2026-01-18,2,101,1.98%,15
2026-01-19,6,133,4.51%,11.2
2026-01-20,5,91,5.49%,10.8
2026-01-21,6,72,8.33%,10.6
2026-01-22,3,100,3%,15.3
2026-01-23,1,103,0.97%,17.9
2026-01-24,0,85,0%,10.7
2026-01-25,5,106,4.72%,14.3
2026-01-26,2,91,2.2%,11.6
2026-01-27,5,106,4.72%,13.4
2026-01-28,3,101,2.97%,10
2026-01-29,4,93,4.3%,14.2
2026-01-30,2,105,1.9%,21.6
2026-01-31,1,126,0.79%,18.8
2026-02-01,12,126,9.52%,15.2
2026-02-02,16,145,11.03%,8.4
2026-02-03,8,142,5.63%,7.2
2026-02-04,6,157,3.82%,13.3
2026-02-05,6,173,3.47%,20.2
2026-02-06,4,127,3.15%,15.7
2026-02-07,10,139,7.19%,10.6
2026-02-08,1,141,0.71%,14.9
2026-02-09,5,151,3.31%,15.7
2026-02-10,14,130,10.77%,19.3
2026-02-11,3,101,2.97%,18.1
2026-02-12,4,101,3.96%,16.3
2026-02-13,5,103,4.85%,13.4
2026-02-14,3,107,2.8%,13.7
2026-02-15,1,128,0.78%,16.8
2026-02-16,0,79,0%,18.8
2026-02-17,7,117,5.98%,14.4
2026-02-18,2,125,1.6%,18.4
2026-02-19,2,97,2.06%,20.8
2026-02-20,5,65,7.69%,20.8
2026-02-21,7,79,8.86%,20.2
2026-02-22,8,66,12.12%,18.1
2026-02-23,3,66,4.55%,18.8
2026-02-24,8,89,8.99%,21.3
2026-02-25,4,80,5%,20.4
2026-02-26,1,87,1.15%,21
2026-02-27,3,89,3.37%,16.7
2026-02-28,10,101,9.9%,14.5
2026-03-01,8,132,6.06%,18.1
2026-03-02,20,136,14.71%,15
2026-03-03,6,139,4.32%,16.6
2026-03-04,10,133,7.52%,16.6
2026-03-05,7,112,6.25%,15.7
2026-03-06,2,110,1.82%,18.2
2026-03-07,9,154,5.84%,24.8
2026-03-08,16,145,11.03%,19.4
2026-03-09,9,141,6.38%,18.8
2026-03-10,9,127,7.09%,15.4
2026-03-11,9,122,7.38%,16
2026-03-12,4,128,3.12%,17.5
2026-03-13,7,92,7.61%,16.3
2026-03-14,0,78,0%,18.2
2026-03-15,2,112,1.79%,22.5
2026-03-16,8,107,7.48%,12.6
2026-03-17,5,137,3.65%,14.8
2026-03-18,10,164,6.1%,22.1
2026-03-19,6,156,3.85%,19.4
2026-03-20,6,139,4.32%,18.9
2026-03-21,2,107,1.87%,17.1
2026-03-22,7,131,5.34%,17.6
2026-03-23,9,115,7.83%,16.1
2026-03-24,6,110,5.45%,10.5
2026-03-25,5,67,7.46%,15.3
2026-03-26,3,40,7.5%,15.4
2026-03-27,4,85,4.71%,16.2
2026-03-28,5,88,5.68%,21.3
2026-03-29,0,75,0%,21.8
2026-03-30,2,97,2.06%,24.2
2026-03-31,4,80,5%,19.4
2026-04-01,1,82,1.22%,23.8
2026-04-02,0,113,0%,18.5
2026-04-03,2,124,1.61%,16.3
2026-04-04,1,151,0.66%,15
2026-04-05,1,121,0.83%,14.7
2026-04-06,7,211,3.32%,11.9
2026-04-07,5,166,3.01%,10
2026-04-08,8,180,4.44%,13.5
2026-04-09,6,163,3.68%,10.8
2026-04-10,4,144,2.78%,12.3
2026-04-11,2,97,2.06%,17
2026-04-12,0,111,0%,15.9
2026-04-13,6,104,5.77%,15.6
2026-04-14,10,148,6.76%,12.3
2026-04-15,8,142,5.63%,11
2026-04-16,8,113,7.08%,10.3
2026-04-17,14,138,10.14%,17.4
2026-04-18,8,103,7.77%,14.2
2026-04-19,9,118,7.63%,18.8
2026-04-20,6,127,4.72%,15.8
2026-04-21,9,190,4.74%,20.5
2026-04-22,2,198,1.01%,22.9
2026-04-23,2,131,1.53%,15.5
2026-04-24,2,108,1.85%,15.4
2026-04-25,2,105,1.9%,13.8
2026-04-26,2,95,2.11%,11.6
2026-04-27,1,18,5.56%,49.9
2026-04-28,1,53,1.89%,27.1
2026-04-29,8,161,4.97%,15.9
2026-04-30,2,124,1.61%,11.3
2026-05-01,3,163,1.84%,11.4
2026-05-02,3,144,2.08%,10.5
2026-05-03,2,126,1.59%,16.5
2026-05-04,2,145,1.38%,25.9
2026-05-05,4,129,3.1%,23.4
2026-05-06,2,113,1.77%,15.8
2026-05-07,5,133,3.76%,12.9
2026-05-08,0,128,0%,16.7
2026-05-09,2,104,1.92%,14.6
2026-05-10,1,151,0.66%,18.9
2026-05-11,4,142,2.82%,15.4
2026-05-12,1,106,0.94%,15.8
2026-05-13,4,109,3.67%,22
2026-05-14,0,98,0%,21.4
2026-05-15,0,105,0%,19.9
2026-05-16,1,154,0.65%,19.2
2026-05-17,4,132,3.03%,22.9
2026-05-18,0,107,0%,16.8
2026-05-19,2,109,1.83%,12
2026-05-20,2,144,1.39%,17.5
2026-05-21,3,134,2.24%,13
2026-05-22,0,120,0%,15.2
2026-05-23,0,122,0%,12.5
2026-05-24,1,133,0.75%,14.6
2026-05-25,1,189,0.53%,13.4
2026-05-26,1,170,0.59%,12.3
2026-05-27,3,159,1.89%,13.9
2026-05-28,2,167,1.2%,13.8
2026-05-29,1,163,0.61%,14.9
2026-05-30,1,119,0.84%,15.3
2026-05-31,2,149,1.34%,13.3
2026-06-01,2,151,1.32%,13
2026-06-02,2,130,1.54%,12.5
2026-06-03,2,162,1.23%,14.8
2026-06-04,0,95,0%,13.8
2026-06-05,3,166,1.81%,28
2026-06-06,3,213,1.41%,31.1
2026-06-07,6,124,4.84%,13.3
2026-06-08,2,105,1.9%,12.9
2026-06-09,3,102,2.94%,18.6
2026-06-10,7,100,7%,16.2
2026-06-11,4,132,3.03%,13.1
2026-06-12,1,120,0.83%,16.4
2026-06-13,3,143,2.1%,16.6
2026-06-14,6,186,3.23%,15.5
2026-06-15,2,150,1.33%,15.6
2026-06-16,1,141,0.71%,16.7
2026-06-17,3,151,1.99%,16.1
2026-06-18,5,146,3.42%,13.7
2026-06-19,2,113,1.77%,17.2
2026-06-20,6,96,6.25%,15.1
2026-06-21,2,112,1.79%,15.3
2026-06-22,3,108,2.78%,11.4
2026-06-23,2,108,1.85%,18.4
2026-06-24,2,111,1.8%,19.9
2026-06-25,5,147,3.4%,15.2
2026-06-26,5,160,3.12%,16.7
2026-06-27,3,124,2.42%,13.8
2026-06-28,3,140,2.14%,19
2026-06-29,1,132,0.76%,10.5
2026-06-30,0,39,0%,27.5
2026-07-01,3,103,2.91%,13.3
2026-07-02,0,137,0%,13.7
2026-07-03,6,157,3.82%,14.6
2026-07-04,0,143,0%,15.9
2026-07-05,5,124,4.03%,16.5
2026-07-06,0,161,0%,21
2026-07-07,2,291,0.69%,34.1
2026-07-08,1,181,0.55%,27.8
2026-07-09,10,131,7.63%,11.9
2026-07-10,8,145,5.52%,14.7
2026-07-11,1,127,0.79%,13.3
2026-07-12,10,194,5.15%,16.2
2026-07-13,5,146,3.42%,12.7
2026-07-14,3,113,2.65%,17.2
2026-07-15,1,94,1.06%,17.1
2026-07-16,0,82,0%,13.6
2026-07-17,0,74,0%,14.3
2026-07-18,3,61,4.92%,11.6
2026-07-19,3,93,3.23%,14
2026-07-20,3,139,2.16%,13.1
2026-07-21,5,102,4.9%,10.1
2026-07-22,2,128,1.56%,14
2026-07-23,0,102,0%,11.8
2026-07-24,0,112,0%,13
2026-07-25,0,170,0%,12.2
2026-07-26,1,143,0.7%,15.4
2026-07-27,0,153,0%,12.1
2026-07-28,5,177,2.82%,15.2
2026-07-29,1,143,0.7%,17.2
2026-07-30,0,92,0%,14.1
2026-07-31,1,133,0.75%,15.2
2026-08-01,1,127,0.79%,12.6
2026-08-02,0,109,0%,17.9
2026-08-03,0,79,0%,10.9
2026-08-04,1,114,0.88%,22.9
2026-08-05,4,208,1.92%,26.4
2026-08-06,1,131,0.76%,15.6
2026-08-07,2,108,1.85%,15
2026-08-08,1,90,1.11%,13.1
2026-08-09,3,140,2.14%,17.9
2026-08-10,1,88,1.14%,15.5
2026-08-11,2,98,2.04%,14.4
2026-08-12,6,228,2.63%,13.2
2026-08-13,5,78,6.41%,14.9
2026-08-14,7,95,7.37%,17.3
2026-08-15,1,65,1.54%,15.3
2026-08-16,0,94,0%,11.6
2026-08-17,0,84,0%,17
2026-08-18,5,120,4.17%,13.9
2026-08-19,0,102,0%,16.6
2026-08-20,1,137,0.73%,12.9
2026-08-21,2,89,2.25%,14.4
2026-08-22,0,81,0%,13.5
2026-08-23,4,119,3.36%,11.6
2026-08-24,1,84,1.19%,12.2
